Scheme Code,Net Asset Value
 ,
Open Ended Schemes(Debt Scheme - Banking and PSU Fund),
 ,
Aditya Birla Sun Life Mutual Fund,
 ,
149050,1002.0173
149049,1083.2523
149051,1010.6995
149052,1059.7775
149047,1069.5444
149054,1002.0796
149048,1075.8546
149053,1010.4250
149046,1052.7610
 ,
Bandhan Mutual Fund,
 ,
148717,10.5111
148714,10.0258
148711,10.9615
148713,10.1122
148715,10.8658
148712,10.2422
148716,10.0460
148718,10.4593
148710,10.0258
148705,10.8510
148707,10.0903
148709,10.8508
148706,10.2081
148708,10.0450
 ,
DSP Mutual Fund,
 ,
148771,10.9649
148769,10.9649
148768,10.9047
148770,10.9047
 ,
Franklin Templeton Mutual Fund,
 ,
118508,36.5700
118507,10.0190
101048,34.0526
101044,10.1198
 ,
HDFC Mutual Fund,
 ,
106838,10.0809
118959,10.0809
118961,42.2538
118960,10.1953
118962,10.0444
106841,41.6392
106839,10.1938
106840,10.0442
 ,
ICICI Prudential Mutual Fund,
 ,
130899,151.7062
101804,100.8609
120423,100.2733
120427,101.9935
120425,381.9289
120426,163.2875
122607,102.6565
125216,108.6397
120424,102.0208
101803,101.9908
101802,354.8101
115510,156.6225
122606,103.1015
122891,107.1895
111545,102.0131
101800,100.0251
101796,101.3988
101795,300.7518
111544,101.1821
101799,100.025
101794,101.397
101793,324.7401
111543,101.1822
101801,100.9403
101798,101.3966
101797,218.1632
111546,101.3043
 ,
Kotak Mahindra Mutual Fund,
 ,
147269,1280.7261
147267,1115.7078
147266,1262.6736
147265,1123.7675
 ,
Nippon India Mutual Fund,
 ,
118656,39.4340
102676,10.2323
118654,10.2538
124590,17.5995
118655,11.2105
118661,10.6702
118660,10.2499
102673,37.7293
124589,17.0358
102675,11.0168
112942,10.7804
102677,10.2462
 ,
SBI Mutual Fund,
 ,
148550,11.1712
148551,11.1705
148549,11.1713
148543,11.1169
148544,11.1175
148546,11.1176
 ,
Tata Mutual Fund,
 ,
149007,10.8525
149037,10.8525
149000,10.8525
149033,10.8525
149002,10.8525
149034,10.8525
149001,10.8525
149003,10.7693
149035,10.7693
149004,10.7693
149036,10.7693
149006,10.7693
149038,10.7693
149005,10.7693
 ,
UTI Mutual Fund,
 ,
145295,1321.3961
145287,1276.1488
145293,1209.6326
145291,1244.8577
145296,1204.4838
145290,1219.1422
145289,1211.948
145292,1166.6267
145288,1127.0362
145294,1128.1763
 ,
Open Ended Schemes(Debt Scheme - Gilt Fund),
 ,
Aditya Birla Sun Life Mutual Fund,
 ,
119606,11.5945
100057,11.0393
100058,68.1867
119605,72.1941
 ,
Axis Mutual Fund,
 ,
151436,10.1201
151435,10.1201
151433,10.1183
151434,10.1183
128957,14.7352
120447,22.3065
120448,10.6392
120449,10.1120
116471,21.1331
116472,10.3396
116470,10.1035
 ,
Bandhan Mutual Fund,
 ,
108558,11.1144
108559,11.0632
108557,11.6800
131395,13.8316
111525,29.4472
111527,11.0969
118467,12.1780
118464,31.3861
118465,12.1057
118463,12.1015
131394,14.8559
118466,11.3705
 ,
Baroda BNP Paribas Mutual Fund,
 ,
119341,38.2862
119340,30.2115
101187,35.1406
101188,22.4202
 ,
Canara Robeco Mutual Fund,
 ,
118299,67.7858
118298,15.7289
100597,63.9719
100596,14.6649
 ,
DSP Mutual Fund,
 ,
119099,83.5089
119101,12.7129
119100,10.8719
100084,79.4213
100085,12.5750
100086,10.8190
 ,
Edelweiss Mutual Fund,
 ,
140298,21.6247
140302,21.5385
140306,20.0855
140308,16.8485
140304,15.928
140310,20.6415
140297,20.6324
140301,20.646
140305,19.4394
140307,10.5107
140303,10.3039
 ,
Franklin Templeton Mutual Fund,
 ,
118498,54.6684
118497,11.5029
100493,50.4788
100494,10.2238
 ,
HDFC Mutual Fund,
 ,
119116,48.3349
101083,46.3692
119115,12.4752
101084,11.8106
 ,
HSBC Mutual Fund,
 ,
151014,63.1826
151015,12.6256
151013,56.6403
151012,11.2049
 ,
ICICI Prudential Mutual Fund,
 ,
130903,12.8414
120590,90.5424
120589,17.0798
130955,18.0717
100369,85.0375
100368,16.2996
130902,10.0481
120607,12.2962
120608,44.6880
120609,10.7239
130956,12.8615
100370,12.1349
100371,43.6350
100372,11.2589
 ,
IDBI Mutual Fund,
 ,
118034,13.2762
118447,14.4796
118030,17.9300
118341,19.2056
118031,12.4104
118446,14.1788
 ,
Indiabulls Mutual Fund,
 ,
118427,1634.7314
118817,1026.3052
118818,1025.995
118816,1015.9373
118822,1048.7104
118820,1544.0868
118823,1049.0732
118821,1052.7066
 ,
Invesco Mutual Fund,
 ,
107476,1135.9704
120520,2570.4074
120519,1349.5667
120521,2005.8867
120522,1027.7436
107477,2364.3826
107471,1331.723
107472,1077.926
 ,
Kotak Mahindra Mutual Fund,
 ,
100281,83.342
119757,92.4907
100280,11.6639
100265,81.4633
119759,90.3199
100264,15.9181
119758,20.3984
 ,
LIC Mutual Fund,
 ,
120282,54.8301
120283,15.8054
100319,29.2201
100318,18.9084
100317,50.5921
100316,14.5831
 ,
Nippon India Mutual Fund,
 ,
118670,11.7433
118674,19.2030
118669,35.3856
118673,35.5736
118672,35.4777
109717,32.5397
109723,10.6455
109720,32.0317
109716,26.8590
109721,32.0317
133265,19.8285
133264,13.0522
109718,23.0785
109724,32.0317
 ,
PGIM India Mutual Fund,
 ,
138471,13.8662
138472,26.8916
138476,12.8877
138474,14.5097
138470,25.4261
138475,12.6178
138467,13.9463
 ,
quant Mutual Fund,
 ,
151228,10.1728
151230,10.1477
151229,10.1733
151231,10.1477
 ,
SBI Mutual Fund,
 ,
102061,N.A.
101933,N.A.
101934,32.9913
101932,35.3103
119707,57.6217
119706,18.3902
101950,16.9925
101951,17.1962
101952,16.6731
101935,17.7708
101001,55.0026
100999,16.9132
 ,
Tata Mutual Fund,
 ,
102046,29.8567
101945,29.9055
119954,20.1861
101049,18.1749
101042,65.5714
119953,71.6975
 ,
Union Mutual Fund,
 ,
150408,10.3595
